,Top chamber pressure,Bottom chamber pressure,Air frame pressure,Absolute pressure,Plate force,ACCL
391,0.09675701280214827,0.02230543483099776,162.83234801125417,1007.3927627270723,-0.7662152148103019,0.7818308324812113
392,0.0967941821179385,0.022900434637992472,162.8256458220274,1007.392535805961,-0.6016586545903451,0.7957321505813578
393,0.09685653617705499,0.023481550432805594,162.81861658145516,1007.3923507272973,-0.4917845218676504,0.8018859784850914
394,0.09694419070941623,0.02404669317815757,162.81126580088127,1007.3922073739363,-0.41937551271004736,0.8010065749681605
395,0.09705693869544872,0.024593942490890076,162.80360039972243,1007.3921049272001,-0.3692823872215314,0.7939803523500226
396,0.09719424571012067,0.025121608942274574,162.79562944782873,1007.3920415866052,-0.3299626817657355,0.7828680177560602
397,0.0973553324272794,0.02562811970253053,162.78736477585622,1007.39201458616,-0.29537795243065545,0.7712292624748075
398,0.09753927252985409,0.02611181744614309,162.77882139318683,1007.3920204376218,-0.26666812078619273,0.7613548259869438
399,0.09774502697440178,0.026570818361621045,162.77001765452164,1007.392055203813,-0.25166910932716036,0.7516486546463905
400,0.09797137882877509,0.027003035272225438,162.76097513773843,1007.39211468458,-0.26124648205296097,0.7388717552470158
401,0.09821680077801546,0.027406363137047557,162.75171834347586,1007.3921944472186,-0.30366368532288845,0.7231383781415033
402,0.0984793393311898,0.027778920113767515,162.74227439173222,1007.3922896788127,-0.3799293545280662,0.708855475952131
403,0.09875659620934422,0.02811920447640612,162.73267278045097,1007.3923949986894,-0.4832367841675804,0.7004020151093677
404,0.09904582388202045,0.02842608468545407,162.72294518514468,1007.3925044428021,-0.6036534433430347,0.6979634700382755
405,0.09934407696672594,0.028698652038651885,162.71312527486862,1007.3926116575834,-0.7355805980646082,0.6985791605253011
406,0.09964833150734004,0.028936061071174538,162.7032484980751,1007.3927101593038,-0.8829368386561214,0.7017386326627995
407,0.09995551485773478,0.029137491383971675,162.69335179991893,1007.3927935213003,-1.0584232884199665,0.7117391329805357
408,0.10026245549928187,0.02930227235877948,162.68347332280453,1007.3928554060676,-1.2776503945251179,0.7308605514667241
409,0.10056582203899013,0.02943008803129243,162.6736521762359,1007.3928894115759,-1.552141068595219,0.7525842002671076
410,0.10086213093122659,0.02952111859694757,162.66392826450715,1007.3928888682271,-1.884669989006575,0.7667779597504045
411,0.10114785415539253,0.02957601771000326,162.65434209578117,1007.3928468578482,-2.2678493668507755,0.7691810014980174
412,0.10141958918061601,0.029595735463563443,162.64493456746868,1007.3927565707814,-2.6854142035330426,0.7632774849071202
413,0.10167421191530294,0.029581300080051883,162.63574676622673,1007.3926118290404,-3.1152975931946045,0.7544828600072226
414,0.10190894082681469,0.029533698451396626,162.62681974244387,1007.3924075316833,-3.533037718378246,0.7446019428921747
415,0.10212129151646258,0.029453929905127706,162.61819421198342,1007.3921398796566,-3.914078850012615,0.7336170798161936
416,0.10230896883830687,0.029343197156969505,162.60991029069123,1007.3918062955761,-4.23477991027795,0.7260253855128256
417,0.1024697844519673,0.02920311612408562,162.6020074576447,1007.3914050608705,-4.4730043465813125,0.7340446488400143
418,0.10260166890166865,0.029035815775906193,162.59452481151442,1007.3909349053389,-4.60896382980448,0.7723295347288728
419,0.10270278241603376,0.028843861529960487,162.58750145803404,1007.3903948157262,-4.626605212922506,0.8387789572197191
420,0.1027716651686905,0.028630040066350986,162.58097675037445,1007.3897840838088,-4.515965846671172,0.9015994257640203
421,0.10280734315795365,0.028397130600050186,162.57499015958774,1007.3891024180149,-4.276179651714131,0.9204807556172213
422,0.10280933189383519,0.028147794134523257,162.5695807313749,1007.3883499804908,-3.9172747387948306,0.8816037423147691
423,0.10277754421616801,0.02788462673597577,162.56478631420384,1007.3875272990635,-3.459197233662195,0.8098844951627938
424,0.102712170399844,0.027610306502723073,162.56064285342808,1007.3866350346585,-2.9286562057699044,0.7451716522666547
425,0.10261361208917291,0.027327698109181515,162.55718387853165,1007.3856736831075,-2.355338108475685,0.7061845045627286
426,0.10248250552685656,0.027039805387549323,162.55444002756164,1007.3846434107884,-1.7684260435017407,0.6847632826144676
427,0.10231979940178375,0.026749565705418605,162.552438391873,1007.3835441408625,-1.1941964713142568,0.6694328234291904
428,0.1021268102209008,0.026459593985611766,162.55120163272156,1007.382375794162,-0.6551790644070863,0.6570887965987373
429,0.10190519167777876,0.026172025116645355,162.5507469607807,1007.381138529137,-0.16994958559013185,0.6495575795605464
430,0.1016568138405251,0.025888536091605744,162.5510851433103,1007.3798329037771,0.24788349929729492,0.6496338358487105
431,0.10138361369878032,0.025610505863606234,162.5522197936223,1007.3784599343097,0.5913936005555058,0.6591347791502815
432,0.10108750315106078,0.02533918331666576,162.55414716824316,1007.3770211053354,0.8612773297742677,0.6775878752564346
433,0.10077038238840644,0.02507573930704002,162.55685646388582,1007.3755184952868,1.0647974460099405,0.7025773872752286
434,0.10043423279271997,0.024821173051943396,162.56033037306474,1007.3739551074483,1.2123999858605359,0.7305399628892331
435,0.1000812089109716,0.024576161981799304,162.56454562884906,1007.3723352804598,1.3129632706172387,0.7558516521863234
436,0.09971365234763609,0.02434099456488398,162.56947344043581,1007.370664993026,1.3703448662450128,0.7716826730662982
437,0.0993340077447779,0.024115663041509694,162.5750799140675,1007.3689519732412,1.3839861982670598,0.7744960768811326
438,0.09894469315693097,0.02390007051972033,162.5813265615596,1007.3672055784294,1.3536285392191445,0.7676812537834414
439,0.09854801328281718,0.023694222641556965,162.58817083759288,1007.3654364912869,1.28514566906955,0.7604037232128034
