,index,Top chamber pressure,Bottom chamber pressure,Air frame pressure,Absolute pressure,Plate force,ACCL
0,317,0.10425466640219769,0.05145557554377602,162.25194604767532,1006.7452242843043,0.021920739961643676,0.005379453613652441
1,318,0.1042606563375375,0.051326840907728995,162.24667950346776,1006.742932512883,-0.22334144979246418,0.01799095306772791
2,319,0.10429611847336562,0.0511992439210468,162.24080996441336,1006.7406738419947,-0.5164960238226399,0.0148288171613154
3,320,0.10436265826116839,0.05107468095349747,162.23433120116346,1006.7384668380937,-0.8304362136534991,-0.0053116606685452705
4,321,0.1044615816999479,0.05095518639647331,162.22724253147206,1006.7363299329382,-1.1400357262222656,-0.034672147319691315
5,322,0.10459389508999198,0.05084283220453201,162.21954873885232,1006.7342813303634,-1.4258868336130774,-0.05953209188744585
6,323,0.1047602434830598,0.05073970983707434,162.21125981859802,1006.7323387936682,-1.675161277503932,-0.07026065249268632
7,324,0.10496083991180233,0.050647958623024285,162.20239073397596,1006.7305193437306,-1.880110447546116,-0.06648155013837032
8,325,0.10519545037229168,0.050569738431805754,162.19296127558917,1006.7288389914848,-2.0365496719745124,-0.05221314713014957
9,326,0.10546342971036103,0.05050711249097711,162.18299599009495,1006.7273125806121,-2.144007499941175,-0.03173897539269577
10,327,0.10576374037647898,0.05046192440129069,162.17252410884504,1006.7259536759597,-2.2065966367474985,-0.011261388560622587
11,328,0.10609491077979695,0.05043577038579462,162.1615795014223,1006.7247743768638,-2.2327454836247966,0.0017800727265431249
12,329,0.10645497140055865,0.05043005968650113,162.1502007328454,1006.7237850204438,-2.2335992800600692,0.0032671102218650994
13,330,0.1068414436848585,0.050446055124272964,162.13843120535014,1006.7229938908606,-2.2213411992540983,-0.006314400406800147
14,331,0.10725140543174944,0.05048481461130593,162.12631926872095,1006.7224071134142,-2.2081815643202134,-0.02397888110626789
15,332,0.10768157955768354,0.05054707903360019,162.11391820270535,1006.7220287774912,-2.2053524653415124,-0.04415538214740122
16,333,0.1081283797321363,0.0506332222795883,162.10128603526354,1006.7218611451277,-2.2213844064422545,-0.05766352332152547
17,334,0.1085879096495971,0.05074330958583035,162.08848516829127,1006.721904785846,-2.260211464452283,-0.05583081179309235
18,335,0.10905597574638919,0.0508771862247637,162.07558174162614,1006.7221586266631,-2.3199697779941673,-0.03775379247185112
19,336,0.10952815715412531,0.051034490944386404,162.06264468223736,1006.7226200160347,-2.3927844082477208,-0.011084741626791295
20,337,0.10999990196737222,0.05121458967719122,162.04974449462782,1006.723284840143,-2.465752641666299,0.013227364122675278
21,338,0.11046658369204322,0.05141652889712581,162.03695195584575,1006.7241476181102,-2.5230406167551607,0.025351179536672375
22,339,0.11092350316955583,0.051639083999904196,162.024336925429,1006.7252015046697,-2.548234489909028,0.020298264823689793
23,340,0.11136589333072097,0.05188085637367705,162.01196741562535,1006.7264382337199,-2.5260141573274595,0.0006855983560628554
24,341,0.11178898363312906,0.052140307555550484,161.9999088840286,1006.7278481198541,-2.443017557853217,-0.024966319981927276
25,342,0.11218810747968723,0.05241569329091406,161.98822357998097,1006.7294201818171,-2.2887929540874126,-0.04699550384898815
26,343,0.11255877991984094,0.05270498435275526,161.97696981147467,1006.7311423210256,-2.0579730477758815,-0.05761430046353172
27,344,0.11289670253985232,0.05300588198519855,161.96620114034792,1006.7330014545503,-1.7531097527462265,-0.05299503053449195
28,345,0.11319773469485532,0.053315926358129054,161.95596567002545,1006.7349835910172,-1.3858875901590082,-0.03515458617650469
29,346,0.11345790949582395,0.053632588611480465,161.94630562737038,1006.7370739454504,-0.9757705179545937,-0.009649019179733487
30,347,0.11367352223824978,0.05395325924443178,161.9372572942918,1006.7392571914337,-0.5474882717227274,0.01719145049599574
31,348,0.11384123861182902,0.05427517004422358,161.9288511817085,1006.7415178176639,-0.12846398620711597,0.03714048957220417
32,349,0.11395815311578868,0.054595367752785354,161.92111232623074,1006.7438404458754,0.25422343340243003,0.040773871448216314
33,350,0.11402179024466465,0.05491080245376543,161.91406066167457,1006.7462099911118,0.5777693850281764,0.024046711307377844
34,351,0.11403010838464302,0.05521846774027391,161.90771141616855,1006.7486116641178,0.8276862574283115,-0.005085140625581408
35,352,0.1139815596880614,0.055515477754852105,161.90207541384916,1006.751030929911,1.0000719745464863,-0.02914503717363809
36,353,0.11387518461394532,0.05579904574399689,161.89715916694468,1006.753453512687,1.1007757139664065,-0.03476666232938741
37,354,0.11371066628112692,0.056066445973376365,161.89296479892516,1006.7558654044911,1.1422697864381206,-0.023377775787981725
38,355,0.11348830423524917,0.056315056464319904,161.8894900105368,1006.7582527935691,1.139986884598187,-0.004660382366412474
39,356,0.11320895229811888,0.0565424755258126,161.88672828298533,1006.7606019330541,1.1089384998402423,0.013806534796061198
40,357,0.1128739999829937,0.05674660946250882,161.88466930448035,1006.762899086686,1.060994615303045,0.027254038927748248
41,358,0.11248541768231565,0.05692565889599571,161.88329944344036,1006.765130652568,1.003584022399771,0.03060222735493845
42,359,0.11204580186092374,0.05707804837607132,161.8826021138277,1006.7672833884933,0.9399828052323542,0.019308674135810944
43,360,0.11155834674171368,0.057202405978549656,161.88255799684734,1006.7693445666243,0.8702652410364564,-0.006347133686080919
44,361,0.11102674433362393,0.05729763252102129,161.88314517401423,1006.7713019778115,0.7920807235515284,-0.03968284990535692
45,362,0.11045508617883631,0.05736298537375286,161.88433924602433,1006.7731438629169,0.7012950110205765,-0.07115381443603863
46,363,0.10984782336691244,0.05739807884193623,161.8861135087122,1006.7748589116534,0.5928919695473738,-0.09219487500645468
