,index,Top chamber pressure,Bottom chamber pressure,Air frame pressure,Absolute pressure,Plate force,ACCL
677,1143,0.2558848825824557,0.17381965591207854,174.43394361632622,1007.2286437728646,-164.1965252556612,5.2466610225901364
678,1144,0.2631202386603917,0.17506966208591934,174.26801033179805,1007.2141707150857,-163.56181791382767,5.054342068981758
679,1145,0.2709808801749418,0.1767799526362019,174.0995064312751,1007.1990646418811,-162.970171961983,4.854365018205334
680,1146,0.2794745384568197,0.1789581715856775,173.92850524959718,1007.1833570953705,-162.40772988640822,4.699252644462729
681,1147,0.2886059265279953,0.18160959159545986,173.7550984112249,1007.1670848336005,-161.85133195347606,4.620051951933628
682,1148,0.29837679691763613,0.18473738267223538,173.5793955830137,1007.1502898592046,-161.2754997525118,4.608727375959896
683,1149,0.3087860636190417,0.18834291841550674,173.40152374030242,1007.1330193918498,-160.65971121831973,4.6337862493334825
684,1150,0.3198298941130926,0.19242611697754175,173.2216260834193,1007.1153256597073,-159.99468397590516,4.670764436958075
685,1151,0.3315017649717815,0.1969857609662261,173.0398607256545,1007.0972654380969,-159.28606965429202,4.717127104289563
686,1152,0.34379253040226937,0.20201976686291628,172.85639918826564,1007.0788994157336,-158.55364703831285,4.784259349053437
687,1153,0.35669051001262864,0.20752545401082922,172.67142467797805,1007.0602915012236,-157.825296427754,4.881547075377335
688,1154,0.37018154662555636,0.2134998781478913,172.48513016718044,1007.0415080512532,-157.12779117300533,5.006864674537601
689,1155,0.3842490194437079,0.21994020006712578,172.2977164348667,1007.0226169276607,-156.47831382035878,5.14734761268532
690,1156,0.3988738829525491,0.22684393493828894,172.10939033636674,1007.0036864136692,-155.8798890928387,5.2870152562248505
691,1157,0.414034808774144,0.23420893668778037,171.92036351571522,1006.9847841896609,-155.3212721499969,5.413922030018424
692,1158,0.429708408895502,0.24203316138519942,171.73085160488873,1006.965976544863,-154.7793512342798,5.521368217733365
693,1159,0.4458694394870292,0.2503144277835466,171.5410738541891,1006.947327799013,-154.22228968489298,5.60509702182365
694,1160,0.46249092612479015,0.2590503270241316,171.3512531339478,1006.9288997952102,-153.61392697904563,5.6620504349326595
695,1161,0.47954424505049714,0.2682381775696057,171.1616161832843,1006.9107514263668,-152.92049806276708,5.692914624220662
696,1162,0.49699920673280384,0.2778747764126918,170.97239383791222,1006.8929383004592,-152.1182999277674,5.70781703757513
697,1163,0.5148241139548541,0.28795584195633445,170.78382093735965,1006.8755126201329,-151.19894945098773,5.735075622805769
698,1164,0.5329857319198814,0.2984753061031433,170.59613577190575,1006.8585231830945,-150.1700085850332,5.830457552233698
699,1165,0.5514491745641189,0.3094247000048097,170.40957914019458,1006.8420153426829,-149.05172571167282,6.076888003419835
700,1166,0.5701777874229144,0.32079273068422653,170.22439317742572,1006.8260309109589,-147.8722900686147,6.562297588745435
701,1167,0.5891330833415027,0.332564981885339,170.0408200315849,1006.8106081404742,-146.6629270269245,7.333077462012698
702,1168,0.6082746938022356,0.3447236809790507,169.859100349505,1006.7957818584562,-145.45230812279266,8.339352248197706
703,1169,0.627560263518521,0.3572475645721791,169.6794715671129,1006.7815836455518,-144.25979086352623,9.417709881307916
704,1170,0.646945289292255,0.37011185845691585,169.50216614380784,1006.7680419128386,-143.08897833756373,10.357125883311886
705,1171,0.6663829911751764,0.3832882963347708,169.32740993368384,1006.7551818757114,-141.9244817739625,11.016408073455333
706,1172,0.6858242877305327,0.39674512123798905,169.15542080922822,1006.7430255474106,-140.73364963456132,11.397847299525424
707,1173,0.7052178455827157,0.41044714600809445,168.98640760781421,1006.7315918162687,-139.47253166222407,11.63028937067804
708,1174,0.7245101211496621,0.42435598570967625,168.82056950288808,1006.7208965425473,-138.09405743985124,11.895740602046338
709,1175,0.7436453737225382,0.4384304197375019,168.65809588834725,1006.710952614394,-136.55685835717807,12.348672608353281
710,1176,0.76256570514515,0.4526266897068192,168.49916671953014,1006.701770001838,-134.83374279249722,13.057224713856773
711,1177,0.7812111605943763,0.4668986246489308,168.34395305693883,1006.6933558640583,-132.9184249463023,13.98540425933535
712,1178,0.7995198526114008,0.48119772873307953,168.19261750068767,1006.6857146586835,-130.82841837909604,15.017943274478599
713,1179,0.8174280738577319,0.4954734529662384,168.04531435693764,1006.6788481148212,-128.60252480871128,16.00740161841727
714,1180,0.8348704498409936,0.5096736850927223,167.90218956527264,1006.6727549997806,-126.29338036578088,16.822009194973724
715,1181,0.8517802224397212,0.523745275439852,167.76338039973942,1006.6674307829251,-123.95768840001877,17.381577871879202
716,1182,0.8680896781542018,0.5376344276357667,167.62901480201066,1006.6628673760354,-121.64733928615337,17.673090357270787
717,1183,0.8837306372933423,0.5512869640325191,167.49921025230753,1006.6590530149758,-119.40345836428028,17.74213312128449
718,1184,0.8986349251694188,0.5646485544083368,167.37407237385816,1006.6559722062153,-117.2541664732259,17.66441957629644
719,1185,0.912734832682602,0.5776648408076851,167.25369361876187,1006.6536056753847,-115.21601784672765,17.50964187502192
720,1186,0.9259636179500832,0.5902812789233104,167.13815222743165,1006.6519303698138,-113.29785758068354,17.31335375241352
721,1187,0.9382560526637992,0.6024427761025157,167.02751147739693,1006.650919593233,-111.50513649903088,17.06860381752275
722,1188,0.9495489594513972,0.6140934976657692,166.92181926406764,1006.6505432456802,-109.84348034311978,16.7378650193385
723,1189,0.959781712812019,0.6251770291838599,166.82110815786717,1006.650768060411,-108.32072868894758,16.275167249502275
724,1190,0.9688967539657177,0.6356367416540126,166.72539606752738,1006.6515578036696,-106.94628802620241,15.646326449790616
725,1191,0.9768401813080195,0.6454161880052776,166.63468749745527,1006.6528735571447,-105.72754454073345,14.842617699260101
726,1192,0.9835623917219336,0.6544594968519938,166.54897525244357,1006.6546742024473,-104.66480173911143,13.892527856366714
727,1193,0.989018675742514,0.6627118039238937,166.46824243296626,1006.6569170327411,-103.74699830930828,12.874186819130658
728,1194,0.9931697132191629,0.6701197942627464,166.3924646246967,1006.6595583091199,-102.95054530197623,11.917369649190844
729,1195,0.9959820197405566,0.6766323692434244,166.32161216592314,1006.6625537092428,-102.2426741365463,11.1777626489253
730,1196,0.9974284209207638,0.6822013353894227,166.2556522771138,1006.6658587713786,-101.58835729704454,10.78406981517555
731,1197,0.9974885592571126,0.6867820344764807,166.19455080967063,1006.669429391678,-100.95817098648484,10.787307010251748
