0.001,540.24,0,0,0.38411,-1.4565
0.002,538.98,-1.2617,0,0.92593,-2.5677
0.003,537.72,-1.2641,-2.4007,0.28559,-1.6116
0.004,536.45,-1.2737,-5.957,0.48262,-0.032027
0.005,535.17,-1.2796,-7.1167,0.21171,1.2469
0.006,533.87,-1.2874,-7.5985,0.58113,3.1634
0.007,532.58,-1.2973,-7.5415,0.21171,3.9433
0.008,531.29,-1.3021,-7.7002,0.9013,-1.4566
0.009,529.96,-1.3114,-8.2959,0.33485,-3.0405
0.01,528.66,-1.3181,-7.2607,0.87667,-0.97096
0.011,527.31,-1.3289,-8.5107,0.35948,1.8734
0.012,525.99,-1.3336,-7.4756,0.58113,-3.3564
0.013,524.64,-1.3447,-7.6514,-0.15771,-2.0922
0.014,523.29,-1.3488,-7.2681,0.7289,-1.1354
0.015,521.94,-1.3563,-7.7832,-0.059198,-1.7777
0.016,520.57,-1.3653,-7.2339,1.123,-9.2433
0.017,519.21,-1.3725,-7.0752,0.13783,-7.967
0.018,517.82,-1.3808,-7.3779,0.53188,-1.7566
0.019,516.43,-1.3841,-5.5737,0.5565,-0.19352
0.02,515.03,-1.3932,-5.7227,0.5565,3.9444
0.021,513.65,-1.3931,-4.5264,0.014686,-1.9358
0.022,512.24,-1.4011,-5.9766,0.85204,-0.024532
0.023,510.85,-1.4035,-5.2783,0.014686,-1.779
0.024,509.42,-1.414,-6.8579,0.53188,-6.224
0.025,508.02,-1.4196,-7.4463,0.014686,0.2986
0.026,506.58,-1.4274,-7.7197,0.53188,-14.788
0.027,505.14,-1.4384,-7.146,-0.03457,-6.5504
0.028,503.71,-1.4421,-7.0605,0.26097,-6.224
0.029,502.23,-1.4498,-7.8662,0.31022,-1.6185
0.03,500.81,-1.4549,-6.1157,-0.15771,6.1667
0.031,499.33,-1.4667,-7.5952,0.13783,4.7439
0.032,497.87,-1.4689,-7.6709,0.08857,2.998
0.033,496.38,-1.48,-7.9907,0.1132,-1.933
0.034,494.89,-1.4881,-6.5405,0.18708,-0.96819
0.035,493.4,-1.4949,-8.2812,0.53188,-3.8619
0.036,491.89,-1.4995,-7.749,0.063942,-1.3012
0.037,490.39,-1.5104,-7.0215,0.26097,-2.4111
0.038,488.88,-1.5188,-8.1885,0.014686,3.7937
0.039,487.34,-1.5232,-7.8394,0.31022,-2.5742
0.04,485.81,-1.5358,-6.2476,-0.03457,0.2907
0.041,484.27,-1.5386,-6.4502,0.21171,-4.6283
0.042,482.72,-1.5416,-6.1523,-0.15771,-0.18079
0.043,481.19,-1.551,-4.3628,0.26097,-5.5958
0.044,479.63,-1.554,-6.6211,-0.30548,-3.8397
0.045,478.06,-1.5576,-7.1143,0.31022,-2.0954
0.046,476.5,-1.5718,-5.625,-0.35474,-3.0533
0.047,474.93,-1.5772,-8.064,0.40874,2.0429
0.048,473.33,-1.5792,-9.0869,-0.25622,-2.5581
0.049,471.74,-1.5943,-7.2217,0.63039,3.3087
0.05,470.16,-1.6031,-7.4072,0.26097,0.76882
0.051,468.53,-1.6079,-9.2432,1.3446,0.29707
0.052,466.91,-1.6142,-6.6699,0.43336,-1.7804
0.053,465.29,-1.6254,-5.7495,1.0737,-1.7767
0.054,463.67,-1.6276,-5.4224,0.31022,3.4689
0.055,462.03,-1.6318,-6.272,0.82741,-3.9887
0.056,460.39,-1.635,-5.3931,0.23634,-0.66912
0.057,458.75,-1.6456,-6.6772,0.99981,-3.051
0.058,457.12,-1.6523,-7.1387,0.60576,-3.8371
0.059,455.44,-1.661,-8.0664,0.92593,-3.521
0.06,453.77,-1.6675,-6.8018,0.23634,6.0076
0.061,452.09,-1.6753,-7.1362,0.33485,-0.82712
0.062,450.41,-1.6796,-6.9043,0.65502,-2.7299
0.063,448.74,-1.688,-7.5073,0.80279,-4.632
0.064,447.05,-1.6956,-7.2607,0.45799,0.60815
0.065,445.33,-1.7051,-7.9419,0.58113,2.2094
0.066,443.61,-1.7116,-6.8823,0.18708,4.9057
0.067,441.89,-1.7193,-6.6699,0.18708,0.61189
0.068,440.18,-1.7224,-6.2866,0.1132,-0.5048
0.069,438.45,-1.7289,-6.9287,0.26097,-2.8916
0.07,436.72,-1.7365,-6.7554,0.33485,-2.2452
0.071,434.97,-1.7463,-7.9004,0.35948,1.0768
0.072,433.21,-1.7531,-7.9565,0.53188,-4.9408
0.073,431.45,-1.7619,-7.3022,0.26097,-3.5235
0.074,429.68,-1.7687,-6.6553,0.18708,-2.8865
0.075,427.91,-1.773,-6.1938,-0.10846,5.8565
0.076,426.12,-1.7795,-5.7202,0.33485,-8.4452
0.077,424.34,-1.784,-5.448,-0.03457,-0.49285
0.078,422.55,-1.7905,-6.1548,0.16245,0.92015
0.079,420.76,-1.7959,-6.3806,-0.20697,-5.425
0.08,418.96,-1.8038,-7.4536,0.13783,-6.2255
0.081,417.14,-1.8114,-7.4243,-0.2316,0.45461
0.082,415.32,-1.8213,-7.9309,0.35948,-0.50558
0.083,413.5,-1.8277,-7.5659,-0.20697,1.4179
0.084,411.66,-1.8356,-7.3743,0.43336,-0.49244
0.085,409.82,-1.8416,-6.2512,-0.42862,-4.0013
0.086,407.97,-1.8483,-6.283,0.5565,-5.4286
0.087,406.12,-1.8525,-5.7532,-0.0099423,-4.161
0.088,404.25,-1.8591,-6.0608,0.58113,-3.8437
0.089,402.39,-1.8643,-6.5173,0.31022,-3.6866
0.09,400.52,-1.8719,-6.9812,0.65502,-1.1378
0.091,398.64,-1.8809,-7.3926,0.16245,-3.9897
0.092,396.76,-1.8875,-7.8418,0.7289,4.0973
0.093,394.85,-1.896,-7.616,0.08857,-2.2529
0.094,392.96,-1.9036,-7.2119,0.5565,3.3149
0.095,391.04,-1.91,-7.5452,0.23634,-8.7677
0.096,389.13,-1.9169,-7.2217,0.53188,3.6244
0.097,387.21,-1.9252,-7.2021,0.60576,8.55
0.098,385.26,-1.9321,-7.323,0.65502,-0.17053
0.099,383.33,-1.9396,-6.8506,0.38411,2.0412
0.1,381.38,-1.9466,-6.1682,0.48262,-1.6233
0.101,379.43,-1.9512,-6.3599,0.65502,-5.5842
0.102,377.47,-1.956,-6.3965,0.38411,1.0924
0.103,375.51,-1.9639,-6.8945,0.18708,-3.5287
0.104,373.55,-1.9716,-7.5098,0.08857,0.28809
0.105,371.56,-1.9811,-8.9636,0.23634,-2.4085
0.106,369.57,-1.9888,-7.6794,-0.25622,0.75578
0.107,367.57,-2.0008,-7.3938,0.50725,-1.7753
0.108,365.56,-2.0023,-6.9043,-0.10846,-2.0961
0.109,363.55,-2.0085,-6.2732,0.50725,0.1328
0.11,361.55,-2.0156,-5.1575,-0.18234,-0.66245
0.111,359.53,-2.0201,-6.6357,0.63039,2.0457
0.112,357.49,-2.0266,-6.2134,-0.20697,-4.1514
0.113,355.46,-2.0355,-5.6921,0.33485,0.60158
0.114,353.41,-2.0396,-6.8604,-0.18234,-1.9265
0.115,351.37,-2.0441,-7.085,0.43336,-8.931
